edition,edition_id,edition_url,year,city,country_flag_url,country_noc,start_date,end_date,competition_date,isHeld
1932 Winter Olympics,31,/editions/31,1932,Lake Placid,/images/flags/USA.png,USA,04-Feb,13-Feb,4 – 15 February,
1936 Winter Olympics,32,/editions/32,1936,Garmisch-Partenkirchen,/images/flags/GER.png,GER,06-Feb,16-Feb,6 – 16 February,
1940 Winter Olympics,55,/editions/55,1940,Garmisch-Partenkirchen,/images/flags/GER.png,GER,,,—,Not held due to war
1944 Winter Olympics,56,/editions/56,1944,Cortina d'Ampezzo,/images/flags/ITA.png,ITA,,,—,Not held due to war
1948 Winter Olympics,33,/editions/33,1948,Sankt Moritz,/images/flags/SUI.png,SUI,30-Jan,08-Feb,30 January –  8 February,
1952 Winter Olympics,34,/editions/34,1952,Oslo,/images/flags/NOR.png,NOR,15-Feb,25-Feb,14 – 25 February,
1956 Winter Olympics,35,/editions/35,1956,Cortina d'Ampezzo,/images/flags/ITA.png,ITA,26-Jan,05-Feb,26 January –  5 February,
1960 Winter Olympics,36,/editions/36,1960,Squaw Valley,/images/flags/USA.png,USA,18-Feb,28-Feb,19 – 28 February,
1964 Winter Olympics,37,/editions/37,1964,Innsbruck,/images/flags/AUT.png,AUT,29-Jan,09-Feb,27 January –  9 February,
1968 Winter Olympics,38,/editions/38,1968,Grenoble,/images/flags/FRA.png,FRA,06-Feb,18-Feb,4 – 18 February,
1972 Winter Olympics,39,/editions/39,1972,Sapporo,/images/flags/JPN.png,JPN,03-Feb,13-Feb,3 – 13 February,
1976 Winter Olympics,40,/editions/40,1976,Innsbruck,/images/flags/AUT.png,AUT,04-Feb,15-Feb,3 – 15 February,
1980 Winter Olympics,41,/editions/41,1980,Lake Placid,/images/flags/USA.png,USA,13-Feb,24-Feb,12 – 24 February,
1984 Winter Olympics,42,/editions/42,1984,Sarajevo,/images/flags/YUG.png,YUG,08-Feb,19-Feb,7 – 19 February,
1988 Winter Olympics,43,/editions/43,1988,Calgary,/images/flags/CAN.png,CAN,13-Feb,28-Feb,13 – 28 February,
1992 Winter Olympics,44,/editions/44,1992,Albertville,/images/flags/FRA.png,FRA,08-Feb,23-Feb,8 – 23 February,
1994 Winter Olympics,45,/editions/45,1994,Lillehammer,/images/flags/NOR.png,NOR,12-Feb,27-Feb,12 – 27 February,
1998 Winter Olympics,46,/editions/46,1998,Nagano,/images/flags/JPN.png,JPN,07-Feb,22-Feb,7 – 22 February,
2002 Winter Olympics,47,/editions/47,2002,Salt Lake City,/images/flags/USA.png,USA,08-Feb,24-Feb,9 – 24 February,
2006 Winter Olympics,49,/editions/49,2006,Torino,/images/flags/ITA.png,ITA,10-Feb,26-Feb,11 – 26 February,
2010 Winter Olympics,57,/editions/57,2010,Vancouver,/images/flags/CAN.png,CAN,12-Feb,28-Feb,12 – 28 February,
2014 Winter Olympics,58,/editions/58,2014,Sochi,/images/flags/RUS.png,RUS,07-Feb,23-Feb,6 – 23 February,
2018 Winter Olympics,60,/editions/60,2018,PyeongChang,/images/flags/KOR.png,KOR,09-Feb,25-Feb,8 – 25 February,
2022 Winter Olympics,62,/editions/62,2022,Beijing,/images/flags/CHN.png,CHN,04-Feb,20-Feb,2 – 20 February,
2026 Winter Olympics,72,/editions/72,2026,Milano-Cortina d'Ampezzo,/images/flags/ITA.png,ITA,06-Feb,22-Feb,4 – 22 February,
1956 Equestrian,48,/editions/48,1956,Stockholm,/images/flags/SWE.png,SWE,10-Jun,17-Jun,11 – 17 June,
1906 Intercalated,4,/editions/4,1906,Athina,/images/flags/GRE.png,GRE,22-Apr,02-May,22 April –  2 May,
